dptm,name,img_name,position,clinic
가정의학과,옥선명,가톨릭대학교 여의도성모병원 가정의학과 옥선명.png,교수,"만성질환.암 조기진단,노화방지,피로.스트레스관리,비만,영양요법"
가정의학과,송찬희,가톨릭대학교 여의도성모병원 가정의학과 송찬희.png,교수,"만성질환 통합관리,비만,골다공증,노화방지,대사증후군,만성피로,만성통증,영양요법"
가정의학과,정주혜,가톨릭대학교 여의도성모병원 가정의학과 정주혜.png,교수,"가정의학과 일반진료,만성질환관리,건강상담"
가정의학과,은영미,가톨릭대학교 여의도성모병원 가정의학과 은영미.png,임상진료조교수,"가정의학과 일반진료,만성질환관리,건강상담"
가정의학과,장유진,가톨릭대학교 여의도성모병원 가정의학과 장유진.png,임상강사,"가정의학과 일반진료,만성질환관리,건강상담"
간담췌외과,백광열,가톨릭대학교 여의도성모병원 간담췌외과 백광열.png,교수,"[간담췌외과] 췌장암,간암,담도암,간이식"
감염내과,최수미,가톨릭대학교 여의도성모병원 감염내과 최수미.png,교수,"바이러스(헤르페스,호흡기바이러스 등),감염질환,면역저하환자 감염질환,폐외결핵,림프절병증,골관절 감염증"
감염내과,홍한터,가톨릭대학교 여의도성모병원 감염내과 홍한터.png,임상강사,일반감염질환
내분비내과,송기호,가톨릭대학교 여의도성모병원 내분비내과 송기호.png,교수,"당뇨병,고지혈증,갑상선"
내분비내과,백기현,가톨릭대학교 여의도성모병원 내분비내과 백기현.png,교수,"당뇨병,골다공증,갑상선,뇌하수체"
내분비내과,권혁상,가톨릭대학교 여의도성모병원 내분비내과 권혁상.png,교수,"당뇨병,고지혈증,갑상선,부신"
내분비내과,김미경,가톨릭대학교 여의도성모병원 내분비내과 김미경.png,교수,"당뇨병,비만, 고지혈증,뇌하수체, 갑상선 기능 이상"
내분비내과,김진영,가톨릭대학교 여의도성모병원 내분비내과 김진영.png,임상진료조교수,"갑상선, 골다공증, 당뇨병, 고지혈증"
