dptm,name,img_name,position,clinic
순환기내과,박철수,가톨릭대학교 여의도성모병원 순환기내과 박철수.png,교수,"관상동맥질환,동맥경화,심부전,고혈압"
순환기내과,조은주,가톨릭대학교 여의도성모병원 순환기내과 조은주.png,교수,"심부전,심근증,판막질환,대동맥 및 관상동맥질환,고혈압,성인 선천성 심질환"
순환기내과,사영경,가톨릭대학교 여의도성모병원 순환기내과 사영경.png,임상조교수,"심부전,판막질환,심장초음파,관상동맥질환,선천성 심질환"
순환기내과,김흥석,가톨릭대학교 여의도성모병원 순환기내과 김흥석.png,임상진료조교수,"협심증,관상동맥질환,고지혈증,고혈압,부정맥"
순환기내과,김화중,가톨릭대학교 여의도성모병원 순환기내과 김화중.png,임상진료조교수,"부정맥, 실신"
신경과,조아현,가톨릭대학교 여의도성모병원 신경과 조아현.png,교수,"[신경과] 뇌졸중(뇌경색),혈관성치매 및 알츠하이머치매,두통,어지럼증"
신경과,임은예,가톨릭대학교 여의도성모병원 신경과 임은예.png,임상조교수,"[신경과] 알츠하이머치매,혈관성치매 및 기타 치매,기억력 및 인지장애,뇌전증,뇌졸중,두통,어지럼증,수면장애"
신경과,류동우,가톨릭대학교 여의도성모병원 신경과 류동우.png,조교수,"파킨슨병,이상운동질환(손떨림,보행장애),두통,어지럼증,말초신경,쥐가나거나 저림증상,위약감, 보톡스치료(만성편두통,눈꺼풀떨림,안면연축) [매월1주 화(오전):보톡스시술만]"
신경외과,조정기,가톨릭대학교 여의도성모병원 신경외과 조정기.png,교수,"[척추센터] 경추질환,척추종양,최소침습척추수술"
신경외과,이정환,가톨릭대학교 여의도성모병원 신경외과 이정환.png,임상부교수,"[척추센터]척추 디스크 및 협착, 척추변형, 통증시술, 외상"
신경외과,조성훈,가톨릭대학교 여의도성모병원 신경외과 조성훈.png,임상조교수,"뇌동맥류의 수술 및 혈관내시술,뇌혈관조영술,경동맥 스텐트,뇌경색 혈전제거술,뇌혈관기형"
신경외과,김영주,가톨릭대학교 여의도성모병원 신경외과 김영주.png,임상진료조교수,"뇌종양수술(두개저접근 및 내시경수술),항암치료,두부외상"
신경외과,배홍주,가톨릭대학교 여의도성모병원 신경외과 배홍주.png,임상진료조교수,"뇌동맥류의 수술 및 혈관내시술,뇌혈관조영술,경동맥 스텐트,뇌경색 혈전제거술,뇌혈관기형"
신장내과,정성진,가톨릭대학교 여의도성모병원 신장내과 정성진.png,교수,"만성신부전,신장혈관질환,신장낭성질환,유전신장병,산염기장애"
신장내과,고은실,가톨릭대학교 여의도성모병원 신장내과 고은실.png,조교수,"당뇨병신장병,노인신장병,사구체질환,신장이식,복막투석요법"
신장내과,이소영,가톨릭대학교 여의도성모병원 신장내과 이소영.png,임상강사,"급성신부전,고혈압,당뇨병신장병,혈액투석요법"
안과,문정일,가톨릭대학교 여의도성모병원 안과 문정일.png,교수,"녹내장 레이저치료,녹내장 섬유주절제술,백내장수술"
안과,박미라,가톨릭대학교 여의도성모병원 안과 박미라.png,임상교수,"소아굴절이상(근시,원시,난시), 사시,복시,약시,신경안과(시신경질환)"
안과,노영정,가톨릭대학교 여의도성모병원 안과 노영정.png,,"황반변성,포도막,망막 및 유리체수술"
안과,나경선,가톨릭대학교 여의도성모병원 안과 나경선.png,교수,"백내장,각막이식수술,콘택트렌즈"
안과,황호식,가톨릭대학교 여의도성모병원 안과 황호식.png,교수,"백내장, 각막이식수술(전층각막이식, 부분층각막이식(DALK, DSaEK, DMEK)), 푹스씨각막이상증, 안구건조증"
안과,백지선,가톨릭대학교 여의도성모병원 안과 백지선.png,조교수,"성형안과, 눈물길, 눈꺼풀, 소아 성형안과, 갑상선, 안와질환, 의안"
안과,정윤혜,가톨릭대학교 여의도성모병원 안과 정윤혜.png,부교수,"녹내장 레이저치료,녹내장 섬유주절제술,백내장수술"
안과,황웅주,가톨릭대학교 여의도성모병원 안과 황웅주.png,조교수,"백내장,노안,각막,굴절,급성녹내장,녹내장수술"
안과,김민희,가톨릭대학교 여의도성모병원 안과 김민희.png,임상진료조교수,"황반변성,포도막,망막 및 유리체수술"
안과,이지영,가톨릭대학교 여의도성모병원 안과 이지영.png,임상진료조교수,"황반,포도막,망막 및 유리체수술,망막레이저치료"
안과,김다영,가톨릭대학교 여의도성모병원 안과 김다영.png,임상진료조교수,"황반,포도막,망막 및 유리체수술,망막레이저치료"
안과,온경,가톨릭대학교 여의도성모병원 안과 온경.png,임상강사,"녹내장, 레이저치료, 녹내장 섬유주절제술, 백내장"
안과,공예슬,가톨릭대학교 여의도성모병원 안과 공예슬.png,임상강사,"백내장,황반,포도막,망막 및 유리체수술,망막레이저치료"
안과,박혜연,가톨릭대학교 여의도성모병원 안과 박혜연.png,임상강사,"황반,포도막,망막 및 유리체수술,망막레이저치료"
안과,윤영채,가톨릭대학교 여의도성모병원 안과 윤영채.png,임상강사,"백내장, 안구건조증, 외안부질환"
안과,장정경,가톨릭대학교 여의도성모병원 안과 장정경.png,임상강사,"황반,포도막,망막 및 유리체수술,망막레이저치료"
안과,김다란,가톨릭대학교 여의도성모병원 안과 김다란.png,임상강사,"백내장, 안구건조증, 외안부질환, 익상편"
안과,구용호,가톨릭대학교 여의도성모병원 안과 구용호.png,임상강사,"황반,포도막,망막 및 유리체수술,망막레이저치료"
