dptm,name,img_name,position,clinic
간담췌외과,나건형,가톨릭대학교 부천성모병원 간담췌외과 나건형.png,교수,"간담췌 질환, 간담도췌장암, 복강경수술, 간이식"
간담췌외과,서창호,가톨릭대학교 부천성모병원 간담췌외과 서창호.png,교수,"간담췌 질환, 복강경 수술, 담석증, 담낭질환"
감염내과,유진홍,가톨릭대학교 부천성모병원 감염내과 유진홍.png,교수,"감염질환, 인터넷이나 모바일 예약 시 증상을 반드시 기입해주시기 바랍니다."
감염내과,최재기,가톨릭대학교 부천성모병원 감염내과 최재기.png,교수,"감염질환, 인터넷이나 모바일 예약 시 증상을 반드시 기입해주시기 바랍니다."
갑상선내분비외과,성기영,가톨릭대학교 부천성모병원 갑상선내분비외과 성기영.png,교수,"※여성센터진료(화/오전-여성만진료가능)갑상선암, 내분비암 및 내시경 수술"
갑상선내분비외과,김영민,가톨릭대학교 부천성모병원 갑상선내분비외과 김영민.png,.,"갑상선 결절 및 종양질환(여성만 진료), 유방관련 질환"
당뇨병센터 내분비내과,유순집,가톨릭대학교 부천성모병원 당뇨병센터 내분비내과 유순집.png,교수,"당뇨병, 비만, 뇌하수체 질환, 고지혈증, 고혈압, 내분비질환"
당뇨병센터 내분비내과,김성래,가톨릭대학교 부천성모병원 당뇨병센터 내분비내과 김성래.png,교수,"당뇨병, 골다공증, 고혈압, 내분비질환, 고지혈증, 갑상선질환, 비만"
당뇨병센터 내분비내과,이성수,가톨릭대학교 부천성모병원 당뇨병센터 내분비내과 이성수.png,교수,당뇨병 갑상선질환 골다공증 고지혈증
당뇨병센터 내분비내과,손장원,가톨릭대학교 부천성모병원 당뇨병센터 내분비내과 손장원.png,교수,"당뇨병, 골다공증, 고혈압, 내분비질환, 고지혈증, 갑상선질환, 비만"
대장항문외과,안창혁,가톨릭대학교 부천성모병원 대장항문외과 안창혁.png,교수,"결장암, 직장암, 항문암"
대장항문외과,김현호,가톨릭대학교 부천성모병원 대장항문외과 김현호.png,교수,"대장, 항문질환, 대장암, 대장 및 항문질환"
류마티스내과,민준기,가톨릭대학교 부천성모병원 류마티스내과 민준기.png,교수,"류마티스관절염, 퇴행성관절염, 루푸스, 베체트병, 통풍, 쇼그렌증후군, 인터넷이나 모바일 예약 시 증상을 반드시 기입해주시기 바랍니다."
류마티스내과,서유석,가톨릭대학교 부천성모병원 류마티스내과 서유석.png,임상강사,"류마티스관절염,퇴행성관절염,루푸스,베체트병,통풍,쇼그렌증후군, 관절초음파 (금, 오후)은 레이노이드클리닉과 병행 진료, 인터넷이나 모바일 예약 시 증상을 반드시 기입해주시기 바랍니다."
방사선종양학과,이윤희,가톨릭대학교 부천성모병원 방사선종양학과 이윤희.png,교수,"폐암,부인암,비뇨기암,뇌종양,유방암"
방사선종양학과,유미나,가톨릭대학교 부천성모병원 방사선종양학과 유미나.png,교수,"유방암,림프종,두경부암,육종,소화기암(식도,위,대장,직장,간,담췌),양성종양,피부암"
병리과,김진아,가톨릭대학교 부천성모병원 병리과 김진아.png,교수,외과 병리
병리과,이희정,가톨릭대학교 부천성모병원 병리과 이희정.png,교수,산부인과 병리
병리과,김유일,가톨릭대학교 부천성모병원 병리과 김유일.png,교수,"두경부병리, 간담췌병리"
