dptm,name,img_name,position,clinic
안과,양석우,가톨릭대학교 서울성모병원 안과 양석우.png,교수,"성형안과,눈물길,눈꺼풀 질환,안와질환,갑상샘 안질환,의안"
안과,김현승,가톨릭대학교 서울성모병원 안과 김현승.png,교수,"백내장,각막이식,굴절교정수술(시력교정술)"
안과,박영훈,가톨릭대학교 서울성모병원 안과 박영훈.png,교수,"황반변성,망막박리,유리체,당뇨망막병증,포도막염,망막혈관질환"
안과,신선영,가톨릭대학교 서울성모병원 안과 신선영.png,교수,"사시(소아및성인),약시,복시,시신경질환,신경안과,소아안과"
안과,정소향,가톨릭대학교 서울성모병원 안과 정소향.png,교수,"백내장, 각막이식, 시력교정술, 각결막 질환"
안과,박신혜,가톨릭대학교 서울성모병원 안과 박신혜.png,교수,"소아안과,사시,소아백내장,미숙아망막병증, 안유전질환"
안과,박혜영,가톨릭대학교 서울성모병원 안과 박혜영.png,교수,녹내장
안과,변용수,가톨릭대학교 서울성모병원 안과 변용수.png,부교수,"각막이식, 백내장"
안과,박영근,가톨릭대학교 서울성모병원 안과 박영근.png,부교수,망막질환
알레르기내과,이화영,가톨릭대학교 서울성모병원 알레르기내과 이화영.png,임상조교수,"천식,만성기침,두드러기,약물 알레르기,호산구질환"
영상의학과,안국진,가톨릭대학교 서울성모병원 영상의학과 안국진.png,교수,"신경두경부영상의학,신경중재치료"
영상의학과,최병길,가톨릭대학교 서울성모병원 영상의학과 최병길.png,교수,인터벤션영상의학
영상의학과,정소령,가톨릭대학교 서울성모병원 영상의학과 정소령.png,교수,"갑상선 영상의학, 갑상선결절, 신경두경부영상의학, 고주파열치료"
영상의학과,정정임,가톨릭대학교 서울성모병원 영상의학과 정정임.png,교수,"심장영상의학,흉부영상의학"
영상의학과,나성은,가톨릭대학교 서울성모병원 영상의학과 나성은.png,교수,"복부영상의학,비뇨생식기영상의학"
영상의학과,천호종,가톨릭대학교 서울성모병원 영상의학과 천호종.png,교수,혈관 및 인터벤션영상의학
영상의학과,한대희,가톨릭대학교 서울성모병원 영상의학과 한대희.png,교수,흉부영상의학
영상의학과,임수아,가톨릭대학교 서울성모병원 영상의학과 임수아.png,교수,소아영상의학
영상의학과,김성헌,가톨릭대학교 서울성모병원 영상의학과 김성헌.png,교수,유방영상의학
완화의학과,안창호,가톨릭대학교 서울성모병원 완화의학과 안창호.png,임상부교수,"입원형, 가정형, 자문형 호스피스"
완화의학과,김기철,가톨릭대학교 서울성모병원 완화의학과 김기철.png,임상진료조교수,"호스피스 완화의학,암성통증관리,암환자의 삶의 질 관리"
완화의학과,이연희,가톨릭대학교 서울성모병원 완화의학과 이연희.png,임상진료조교수,비암성 소아청소년  완화의료
완화의학과,박재영,가톨릭대학교 서울성모병원 완화의학과 박재영.png,임상강사,"호스피스 완화의학,암성통증관리,암환자의 삶의 질 관리"
소아외과,정재희,가톨릭대학교 서울성모병원 위장관외과 정재희.png,교수,"소아외과,[소장이식],[단장증후군 위장관재활클리닉(금요일 진료)],태아치료"
위장관외과,이한홍,가톨릭대학교 서울성모병원 위장관외과 이한홍.png,교수,"위암,상부소화기질환,비만수술,복강경,로봇 수술,항역류수술"
위장관외과,서호석,가톨릭대학교 서울성모병원 위장관외과 서호석.png,조교수,"위암,항역류수술,비만대사수술,탈장(단일공복강경),복강경수술,로봇수술,위장관 질환"
위장관외과,김소정,가톨릭대학교 서울성모병원 위장관외과 김소정.png,임상진료조교수,"위암, 로봇수술, 복강경수술, 탈장(단일공복강경), 비만대사수술, 항역류수술, 위장관 질환"
유방외과,배수연,가톨릭대학교 서울성모병원 유방외과 배수연.png,부교수,유방암
유방외과,윤창익,가톨릭대학교 서울성모병원 유방외과 윤창익.png,임상조교수,"유방암,유방질환"
유방외과,이영주,가톨릭대학교 서울성모병원 유방외과 이영주.png,임상조교수,"유방암,양성유방질환"
유방외과,김두레,가톨릭대학교 서울성모병원 유방외과 김두레.png,임상진료조교수,"유방암,양성유방질환"
유방외과,이진아,가톨릭대학교 서울성모병원 유방외과 이진아.png,임상강사,"양성유방질환, 여성형유방"
이비인후과,김수환,가톨릭대학교 서울성모병원 이비인후과 김수환.png,교수,"코중격만곡증 및 외비변형,알레르기,축농증,코골이,수면무호흡증"
이비인후과,박경호,가톨릭대학교 서울성모병원 이비인후과 박경호.png,교수,"난청,이명,어지럼증,중이염,인공와우이식,중이임플란트"
이비인후과,박시내,가톨릭대학교 서울성모병원 이비인후과 박시내.png,교수,"난청,이명,어지럼증,중이염,인공와우이식,중이임플란트"
이비인후과,김성원,가톨릭대학교 서울성모병원 이비인후과 김성원.png,교수,"축농증,코종양,코중격만곡증,코골이,수면무호흡증,알레르기"
이비인후과,서재현,가톨릭대학교 서울성모병원 이비인후과 서재현.png,교수,"어지럼증, 중이염, 난청, 이명"
이비인후과,김도현,가톨릭대학교 서울성모병원 이비인후과 김도현.png,부교수,"코종양,코중격만곡증,축농증,알레르기,외비변형,코골이,수면무호흡증"
이비인후과,김상연,가톨릭대학교 서울성모병원 이비인후과 김상연.png,조교수,"두경부암, 갑상선암, 로봇수술, 음성질환, 침샘질환"
이비인후과,한재상,가톨릭대학교 서울성모병원 이비인후과 한재상.png,임상진료조교수,"귀질환, 난청, 이명, 어지럼증, 중이염, 전이개누공, 안면마비"
이비인후과,김근전,가톨릭대학교 서울성모병원 이비인후과 김근전.png,임상진료조교수,"두경부암, 갑상선암, 로봇수술, 음성질환, 침샘질환"
재활의학과,이종인,가톨릭대학교 서울성모병원 재활의학과 이종인.png,교수,"근골격계재활,림프부종,어깨통증,스포츠재활,척수손상"
재활의학과,임성훈,가톨릭대학교 서울성모병원 재활의학과 임성훈.png,교수,"뇌졸중(중풍),퇴행성뇌질환,뇌손상, 성인연하장애, 말초신경질환(근전도)"
재활의학과,남경은,가톨릭대학교 서울성모병원 재활의학과 남경은.png,임상진료조교수,"근골격계 통증,심장 및 호흡(폐)재활,근전도,말초신경질환,뇌신경질환"
재활의학과,박혜정,가톨릭대학교 서울성모병원 재활의학과 박혜정.png,진료전문의,"소아재활, 족부통증, 뇌신경재활,근전도 및 전기진단"
재활의학과,이은지,가톨릭대학교 서울성모병원 재활의학과 이은지.png,임상강사,"뇌신경재활,연하재활,전정재활,근전도 및 전기진단,근골격계재활,통증재활"
재활의학과,주연우,가톨릭대학교 서울성모병원 재활의학과 주연우.png,임상강사,"척추손상재활,근골격계재활,통증재활,스포츠재활,노인재활,근전도 및 전기진단"
정신건강의학과,이창욱,가톨릭대학교 서울성모병원 정신건강의학과 이창욱.png,교수,"기억력장애 및 치매,우울증,노인정신질환"
정신건강의학과,김대진,가톨릭대학교 서울성모병원 정신건강의학과 김대진.png,교수,"알코올,니코틴 및 약물/행위 중독,우울,불안장애,수면장애"
정신건강의학과,김태석,가톨릭대학교 서울성모병원 정신건강의학과 김태석.png,교수,"정신신체의학,정신종양학,우울증,불안장애,암환자 심리"
정신건강의학과,유재현,가톨릭대학교 서울성모병원 정신건강의학과 유재현.png,임상조교수,"ADHD,발달장애,소아청소년 우울증,자해 행동,성인 ADHD,가족 상담,소아청소년정신질환,금연"
정신건강의학과,강동우,가톨릭대학교 서울성모병원 정신건강의학과 강동우.png,조교수,"기억력 장애 및 치매,COVID-19 감염 후 인지기능 저하,노인정신질환,우울증,수면장애"
정신건강의학과,오지훈,가톨릭대학교 서울성모병원 정신건강의학과 오지훈.png,임상조교수,"불안장애, 공황장애, 우울증, 알코올/니코틴 중독"
정신건강의학과,김남우,가톨릭대학교 서울성모병원 정신건강의학과 김남우.png,임상진료조교수,"정신신체의학,불안장애,우울장애,알코올/니코틴중독"
정신건강의학과,박미진,가톨릭대학교 서울성모병원 정신건강의학과 박미진.png,임상진료조교수,"우울증, 알코올/니코틴 중독"
정형외과,정양국,가톨릭대학교 서울성모병원 정형외과 정양국.png,교수,"수부상지 질환 및 말초신경질환 질환,골연부조직 종양"
정형외과,안재훈,가톨릭대학교 서울성모병원 정형외과 안재훈.png,교수,"족부외과, 족부관절내시경, 발목만성불안정증"
정형외과,인용,가톨릭대학교 서울성모병원 정형외과 인용.png,교수,"무릎관절질환, 무릎 인공관절 클리닉,  무릎 관절 내시경 클리닉"
정형외과,김양수,가톨릭대학교 서울성모병원 정형외과 김양수.png,교수,어깨 관절질환
정형외과,김영훈,가톨릭대학교 서울성모병원 정형외과 김영훈.png,교수,"척추변형,척추종양,퇴행성 척추질환"
정형외과,임영욱,가톨릭대학교 서울성모병원 정형외과 임영욱.png,부교수,"인공고관절치환술,고관절"
정형외과,신승한,가톨릭대학교 서울성모병원 정형외과 신승한.png,부교수,"수부상지 및 말초신경질환, 골연부 조직 및 감염, 종양(암병원 진료)"
정형외과,이효진,가톨릭대학교 서울성모병원 정형외과 이효진.png,부교수,어깨 / 팔꿈치 질환 및 스포츠 손상
