dptm,name,img_name,position,clinic
입원의학과,이인석,가톨릭대학교 서울성모병원 입원의학과 이인석.png,교수,"담관질환,담도암,췌장질환,치료내시경"
입원의학과,조용재,가톨릭대학교 서울성모병원 입원의학과 조용재.png,임상진료조교수,none
입원의학과,남이슬,가톨릭대학교 서울성모병원 입원의학과 남이슬.png,임상진료조교수,none
입원의학과,이승환,가톨릭대학교 서울성모병원 입원의학과 이승환.png,임상진료조교수,none
입원의학과,박홍민,가톨릭대학교 서울성모병원 입원의학과 박홍민.png,임상진료조교수,none
입원의학과,조재호,가톨릭대학교 서울성모병원 입원의학과 조재호.png,임상조교수,none
재활의학과,박주현,가톨릭대학교 서울성모병원 재활의학과 박주현.png,교수,"뇌신경 재활,소아 재활,근막동통 증후군,근전도"
재활의학과,이종인,가톨릭대학교 서울성모병원 재활의학과 이종인.png,교수,"근골격계재활,림프부종,어깨통증,스포츠재활,척수손상"
재활의학과,임성훈,가톨릭대학교 서울성모병원 재활의학과 임성훈.png,교수,"뇌졸중(중풍),퇴행성뇌질환,뇌손상, 성인연하장애, 말초신경질환(근전도)"
재활의학과,남경은,가톨릭대학교 서울성모병원 재활의학과 남경은.png,임상진료조교수,"근골격계 통증,심장 및 호흡(폐)재활,근전도,말초신경질환,뇌신경질환"
재활의학과,박혜정,가톨릭대학교 서울성모병원 재활의학과 박혜정.png,진료전문의,"소아재활, 족부통증, 뇌신경재활,근전도 및 전기진단"
재활의학과,이은지,가톨릭대학교 서울성모병원 재활의학과 이은지.png,임상강사,"뇌신경재활,연하재활,전정재활,근전도 및 전기진단,근골격계재활,통증재활"
재활의학과,주연우,가톨릭대학교 서울성모병원 재활의학과 주연우.png,임상강사,"척추손상재활,근골격계재활,통증재활,스포츠재활,노인재활,근전도 및 전기진단"
정신건강의학과,채정호,가톨릭대학교 서울성모병원 정신건강의학과 채정호.png,교수,"불안장애,우울증,가정/직장정신건강,공황장애"
정신건강의학과,이창욱,가톨릭대학교 서울성모병원 정신건강의학과 이창욱.png,교수,"기억력장애 및 치매,우울증,노인정신질환"
