dptm,name,img_name,position,clinic
진단검사의학과,권희정,가톨릭대학교 여의도성모병원 진단검사의학과 권희정.png,교수,"임상화학검사,진단면역검사"
진단검사의학과,이호원,가톨릭대학교 여의도성모병원 진단검사의학과 이호원.png,임상강사,"수혈 및 세포치료/이식, 진단혈액, 세포유전 및 분자유전"
진단검사의학과,장지영,가톨릭대학교 여의도성모병원 진단검사의학과 장지영.png,진료전문의,"진단미생물, 진단혈액, 일반진단검사"
치과,모성서,가톨릭대학교 여의도성모병원 치과 모성서.png,교수,"성인교정,부분교정,소아교정,일반치과진료"
치과,윤경인,가톨릭대학교 여의도성모병원 치과 윤경인.png,임상교수,"구강악안면외과(임플란트수술, 턱관절질환, 사랑니발치, 주걱턱,돌출입,무턱, 얼굴비대칭)"
치과,이태연,가톨릭대학교 여의도성모병원 치과 이태연.png,임상부교수,"근관치료,심미수복,미세현미경수술,치아미백술"
피부과,김미리,가톨릭대학교 여의도성모병원 피부과 김미리.png,부교수,"수포성피부질환, 건선, 손발바닥농포증, 손발톱질환, 피부알레르기, 여드름, 흉터레이저"
피부과,이현지,가톨릭대학교 여의도성모병원 피부과 이현지.png,임상진료조교수,"아토피피부염,소아피부질환,건선,피부알레르기,모발,여드름,흉터,피부미용,피부노화,레이저"
핵의학과,박영주,가톨릭대학교 여의도성모병원 핵의학과 박영주.png,임상진료조교수,"뇌신경 핵의학, 종양 핵의학, 방사성 동위원소 치료"
핵의학과,한은지,가톨릭대학교 여의도성모병원 핵의학과 한은지.png,부교수,"종양 핵의학, 뇌신경 핵의학, 방사성 동위원소 치료"
혈관이식외과,박영준,가톨릭대학교 여의도성모병원 혈관이식외과 박영준.png,임상진료조교수,"[혈관이식외과]대동맥,사지혈관질환,정맥류,하지부종,투석혈관수술,신장이식,췌장이식"
혈액내과,전영우,가톨릭대학교 여의도성모병원 혈액내과 전영우.png,조교수,"림프종,조혈모세포이식,면역세포치료,CAR-T세포치료/이중항체치료,만성림프구성백혈병,캐슬만,형질세포이상증후군, 다발골수종,(혈액)희귀질환"
혈액내과,김동윤,가톨릭대학교 여의도성모병원 혈액내과 김동윤.png,조교수,"림프종,조혈모세포이식,급성백혈병,다발골수종,일반혈액질환,빈혈클리닉,혈소판감소증(ITP)"
호스피스완화의학,정주혜,가톨릭대학교 여의도성모병원 호스피스완화의학 정주혜.png,교수,호스피스 완화의학
호흡기내과,윤형규,가톨릭대학교 여의도성모병원 호흡기내과 윤형규.png,교수,"만성폐쇄성폐질환,천식,폐암,간질성폐질환"
호흡기내과,박찬권,가톨릭대학교 여의도성모병원 호흡기내과 박찬권.png,임상교수,"폐암, 중환자의학, 만성폐쇄성페질환, 천식, 간질성폐질환"
호흡기내과,임정욱,가톨릭대학교 여의도성모병원 호흡기내과 임정욱.png,조교수,"폐암, 만성 기침, 천식, 만성폐쇄성폐질환, 검진 흉부 영상 이상, 폐결핵, 롱코비드"
호흡기내과,안태준,가톨릭대학교 여의도성모병원 호흡기내과 안태준.png,임상진료조교수,"만성폐쇄성폐질환, 천식, 만성기침, 폐암, 중환자의학, 간질성폐질환, 폐결핵, 롱코비드"
호흡기내과,김서현,가톨릭대학교 여의도성모병원 호흡기내과 김서현.png,임상진료조교수,"호흡기내과질환,중환자의학, 롱코비드, [일반병동환자 협진 불가]"
흉부외과,사영조,가톨릭대학교 여의도성모병원 흉부외과 사영조.png,임상부교수,"폐암,종격동종양,흉강경수술,흉부외상 및 손상"
