dptm,name,img_name,position,clinic
가정의학과,황선욱,가톨릭대학교 은평성모병원 가정의학과 황선욱.png,교수,"비만, 만성피로, 만성통증, 노인의학, 평생건강관리, 여행의학 , 만성질환관리, 예방접종"
가정의학과,김재민,가톨릭대학교 은평성모병원 가정의학과 김재민.png,임상진료조교수,"건강상담, 노인병, 만성질환, 여행의학,비만"
가정의학과,이재동,가톨릭대학교 은평성모병원 가정의학과 이재동.png,임상강사,"비만클리닉, 근감소증, 평생건강관리, 만성질환"
간담췌외과,김동구,가톨릭대학교 은평성모병원 간담췌외과 김동구.png,교수,"간담췌질환, 간·담도췌장암, 복강경수술, 간이식"
간담췌외과,박정현,가톨릭대학교 은평성모병원 간담췌외과 박정현.png,임상부교수,"간·담도 췌장 질환, 복강경 수술, 로봇수술, 간이식"
간담췌외과,박천수,가톨릭대학교 은평성모병원 간담췌외과 박천수.png,조교수,"간·담도 췌장 질환, 복강경 수술 , 간이식"
간담췌외과,박한얼,가톨릭대학교 은평성모병원 간담췌외과 박한얼.png,임상진료조교수,"간·담도 췌장 질환, 복강경 수술, 로봇수술"
감염내과,최정현,가톨릭대학교 은평성모병원 감염내과 최정현.png,교수,"감염질환, 성인예방접종, 여행의학"
감염내과,박선희,가톨릭대학교 은평성모병원 감염내과 박선희.png,교수,"감염질환, 성인예방접종, 여행의학"
갑상선내분비외과,이소희,가톨릭대학교 은평성모병원 갑상선내분비외과 이소희.png,부교수,"갑상선암, 부갑상선, 부신 질환, 로봇수술(고난도)"
갑상선내분비외과,김광순,가톨릭대학교 은평성모병원 갑상선내분비외과 김광순.png,조교수,"갑상선암, 부신종양, 부신질환"
내분비내과,장상아,가톨릭대학교 은평성모병원 내분비내과 장상아.png,교수,"당뇨병, 비만, 고지혈증, 갑상선질환, 뇌하수체"
내분비내과,이정민,가톨릭대학교 은평성모병원 내분비내과 이정민.png,진료부원장,"당뇨병, 비만, 고지혈증, 대사증후군, 부신, 갑상선 질환"
내분비내과,김민희,가톨릭대학교 은평성모병원 내분비내과 김민희.png,부교수,"갑상선암,갑상선질환,골다공증,부신,부갑상선질환,당뇨병"
내분비내과,이정민,가톨릭대학교 은평성모병원 내분비내과 이정민.png,조교수,"갑상선암, 부갑상선 질환, 골다공증 및 골대사 질환, 부신 질환"
노년의학과,최범순,가톨릭대학교 은평성모병원 노년의학과 최범순.png,교수,노년의학
노년의학과,이상학,가톨릭대학교 은평성모병원 노년의학과 이상학.png,교수,노년의학
노년의학과,고윤호,가톨릭대학교 은평성모병원 노년의학과 고윤호.png,교수,노년항암
노년의학과,이혜연,가톨릭대학교 은평성모병원 노년의학과 이혜연.png,조교수,노년의학
대장항문외과,박종경,가톨릭대학교 은평성모병원 대장항문외과 박종경.png,교수,"대장암, 직장암의 복강경 최소침습수술, 대장 및 직장의 양성질환 수술, 항문질환(치질,치열,치루), 탈장"
대장항문외과,김형진,가톨릭대학교 은평성모병원 대장항문외과 김형진.png,교수,"대장암, 직장암 복강경 및 로봇수술, 대장항문질환, 탈장, 대장내시경"
대장항문외과,최영선,가톨릭대학교 은평성모병원 대장항문외과 최영선.png,임상진료조교수,대장항문외과
대장항문외과,박진형,가톨릭대학교 은평성모병원 대장항문외과 박진형.png,임상진료조교수,대장항문외과
류마티스내과,윤종현,가톨릭대학교 은평성모병원 류마티스내과 윤종현.png,교수,"류마티스관절염, 강직척추염, 통풍, 골관절염, 루푸스, 쇼그렌증후군, 혈관염, 베체트병, 경피증, 레이노증 기타 자가면역질환"
류마티스내과,이진희,가톨릭대학교 은평성모병원 류마티스내과 이진희.png,임상진료조교수,"류마티스관절염, 강직척추염, 통풍, 골관절염, 루푸스, 쇼그렌증후군, 혈관염, 베체트병, 경피증, 레이노증 기타 자가면역질환"
마취통증의학과,김창재,가톨릭대학교 은평성모병원 마취통증의학과 김창재.png,교수,"두통,척추 및 골반통증,대상포진 후 신경통,각종 신경병증증성 통증,관절통(무릎,어깨,팔꿈치등)"
마취통증의학과,정미영,가톨릭대학교 은평성모병원 마취통증의학과 정미영.png,교수,"심폐마취, 혈관중재마취"
마취통증의학과,전준표,가톨릭대학교 은평성모병원 마취통증의학과 전준표.png,임상교수,"심폐마취, 폐이식마취, 혈관중재마취"
마취통증의학과,문호식,가톨릭대학교 은평성모병원 마취통증의학과 문호식.png,교수,"두통,척추 및 골반통증,대상포진 후 신경통,각종 신경병증증성 통증,관절통(무릎,어깨,팔꿈치등)복합부위 통증 증후군,관절의 비수술적 치료"
마취통증의학과,정현식,가톨릭대학교 은평성모병원 마취통증의학과 정현식.png,부교수,"간이식 마취, 외래마취"
마취통증의학과,민지영,가톨릭대학교 은평성모병원 마취통증의학과 민지영.png,임상조교수,"이식 마취, 소아마취, 고도진정, 뇌신경마취"
마취통증의학과,윤혜주,가톨릭대학교 은평성모병원 마취통증의학과 윤혜주.png,임상진료조교수,"부위마취, 노인마취"
마취통증의학과,지현숙,가톨릭대학교 은평성모병원 마취통증의학과 지현숙.png,임상진료조교수,"기도관리, 폐마취"
마취통증의학과,이소연,가톨릭대학교 은평성모병원 마취통증의학과 이소연.png,임상진료조교수,"산과마취, 술후 통증관리"
마취통증의학과,정시욱,가톨릭대학교 은평성모병원 마취통증의학과 정시욱.png,임상진료조교수,"척추 및 관절 질환(비수술), 신경병증 통증, 일반 통증 질환"
마취통증의학과,형성우,가톨릭대학교 은평성모병원 마취통증의학과 형성우.png,임상강사,"심폐마취, 중환자 마취, 일반 마취"
마취통증의학과,홍상현,가톨릭대학교 은평성모병원 마취통증의학과 홍상현.png,임상강사,"척추 및 관절 질환(비수술), 신경병증 통증, 일반 통증 질환"
방사선종양학과,이시원,가톨릭대학교 은평성모병원 방사선종양학과 이시원.png,조교수,"뇌종양, 유방암, 대장직장암, 부인암, 흑색종, 피부암, 육종, 양성질환"
방사선종양학과,성수윤,가톨릭대학교 은평성모병원 방사선종양학과 성수윤.png,조교수,"두경부종양, 흉부종양, 간담췌암, 비뇨기암, 혈액암, 림프종"
병리과,정은선,가톨릭대학교 은평성모병원 병리과 정은선.png,교수,"소화기병리, 간담췌병리"
병리과,민기옥,가톨릭대학교 은평성모병원 병리과 민기옥.png,임상교수,"외과병리(산부인과병리), 세포병리"
병리과,이영섭,가톨릭대학교 은평성모병원 병리과 이영섭.png,임상진료조교수,"심폐병리, 신장병리, 비뇨기병리"
병리과,위영찬,가톨릭대학교 은평성모병원 병리과 위영찬.png,임상진료조교수,"내분비병리, 유방병리"
비뇨의학과,조수연,가톨릭대학교 은평성모병원 비뇨의학과 조수연.png,교수,"전립선질환, 배뇨장애, 소아비뇨, 여성배뇨장애"
비뇨의학과,김현우,가톨릭대학교 은평성모병원 비뇨의학과 김현우.png,교수,"전립선질환(전립선암, 전립선비대증), 로봇수술 및 홀뮴레이저수술, 여성배뇨장애 및 요실금"
비뇨의학과,김상훈,가톨릭대학교 은평성모병원 비뇨의학과 김상훈.png,임상교수,"비뇨기종양, 로봇 및 복강경수술,전립선암, 신장암, 방광암, 전립선 질환"
비뇨의학과,최용선,가톨릭대학교 은평성모병원 비뇨의학과 최용선.png,부교수,"로봇수술, 전립선암, 방광암, 비뇨기종양, 배뇨장애, 요로결석"
비뇨의학과,이규원,가톨릭대학교 은평성모병원 비뇨의학과 이규원.png,임상조교수,"요로결석, 로봇 및 복강경 수술, 전립선질환, 소아비뇨, 성기능/불임"
산부인과,이용석,가톨릭대학교 은평성모병원 산부인과 이용석.png,교수,"자궁근종, 난소종양, 단일공 복강경, 로봇수술, 부인암 조기진단 및 치료"
산부인과,권지영,가톨릭대학교 은평성모병원 산부인과 권지영.png,교수,"고위험임신, 선천성질환, 정밀초음파, 약물상담, 임신과근종, 일반부인과"
산부인과,남궁정,가톨릭대학교 은평성모병원 산부인과 남궁정.png,조교수,"자궁근종, 자궁내막증, 난소낭종, 자궁질탈출증, 월경장애, 갱년기장애, 최소침습복강경수술(단일공수술 및 로봇수술)"
산부인과,위정하,가톨릭대학교 은평성모병원 산부인과 위정하.png,부교수,"고위험임신, 태아정밀초음파, 일반부인과"
산부인과,정민진,가톨릭대학교 은평성모병원 산부인과 정민진.png,임상진료조교수,"자궁경부클리닉(비정상 자궁경부세포이상),부인암 조기진단, 자궁근종, 난소낭종, 복강경수술(단일공 수술 및 로봇수술)"
산부인과,윤현지,가톨릭대학교 은평성모병원 산부인과 윤현지.png,임상진료조교수,"자궁근종, 자궁내막증, 난소낭종, 월경장애, 갱년기장애, 복강경 수술, 로봇수술, 일반부인과"
성형외과,변준희,가톨릭대학교 은평성모병원 성형외과 변준희.png,교수,"두개안면외상, 구순구개열 및 선천성 기형, 미용성형"
성형외과,나은영,가톨릭대학교 은평성모병원 성형외과 나은영.png,부교수,"유방재건, 유방성형, 악안면외상, 화상 및 만성창상, 미용성형, 흉터성형, 피부암재건, 레이저 및 보톡스"
성형외과,신종원,가톨릭대학교 은평성모병원 성형외과 신종원.png,조교수,"하지재건, 안검성형, 피부암 및 육종재건, 만성창상(당뇨족 및 욕창), 화상"
성형외과,김지윤,가톨릭대학교 은평성모병원 성형외과 김지윤.png,임상강사,"두개안면외상, 피부암 재건, 화상 재건, 만성창상, 욕창, 미용성형, 레이저 및 보톡스"
소아청소년과,윤종서,가톨릭대학교 은평성모병원 소아청소년과 윤종서.png,교수,"소아호흡기학, 소아중환자의학, 소아수면질환, 소아완화의학, 소아응급의학, 소아입원의학"
소아청소년과,최의윤,가톨릭대학교 은평성모병원 소아청소년과 최의윤.png,부교수,"소아감염(호흡기감염 및 기타감염), 불명열, 예방접종, 면역 및 류마티스 질환, 소아신장질환, 일반소아과질환"
 , , , , 
소아청소년과,김슬기,가톨릭대학교 은평성모병원 소아청소년과 김슬기.png,임상진료조교수,소아내분비질환
소아청소년과,김범준,가톨릭대학교 은평성모병원 소아청소년과 김범준.png,임상진료조교수,"선천성심질환, 심잡음, 가와사끼병, 흉통, 실신, 부정맥, 심근증, 고혈압, 폐동맥고혈압"
소아청소년과,이주영,가톨릭대학교 은평성모병원 소아청소년과 이주영.png,임상진료조교수,"소아신경질환, 뇌전증 및 경련성질환, 두통, 유전, 발달지연, 소아수면질환, 소아 ADHD"
소아청소년과,이혜미,가톨릭대학교 은평성모병원 소아청소년과 이혜미.png,임상강사,"신생아질환, 미숙아 질환 관련 진료"
소아청소년과,손보라,가톨릭대학교 은평성모병원 소아청소년과 손보라.png,진료전문의,신생아질환
소아청소년과,문병승,가톨릭대학교 은평성모병원 소아청소년과 문병승.png,진료전문의,소아응급질환
소아청소년과,강다예,가톨릭대학교 은평성모병원 소아청소년과 강다예.png,진료전문의,신생아질환
소아청소년과,김석민,가톨릭대학교 은평성모병원 소아청소년과 김석민.png,진료전문의,신생아질환
소아청소년과,김건주,가톨릭대학교 은평성모병원 소아청소년과 김건주.png,진료전문의,신생아학
소아청소년과,윤정하,가톨릭대학교 은평성모병원 소아청소년과 윤정하.png,진료전문의,"신생아 질환, 미숙아 질환 관련 진료"
소화기내과,배시현,가톨릭대학교 은평성모병원 소화기내과 배시현.png,교수,"간암, 간이식, 줄기세포치료, 간경변, 지방간질환, 간염"
소화기내과,오정환,가톨릭대학교 은평성모병원 소화기내과 오정환.png,교수,"위암, 치료내시경, 초음파내시경, 소화불량, 역류성식도염, 헬리코박터, 대장내시경"
소화기내과,김진수,가톨릭대학교 은평성모병원 소화기내과 김진수.png,임상교수,"치료내시경(대장암, 위암, 용종), 염증성장질환, 위장관출혈, 복부통증, 과민성장증후군"
소화기내과,정성훈,가톨릭대학교 은평성모병원 소화기내과 정성훈.png,교수,"크론병, 궤양성대장염, 베체트장염, 기타 염증성장질환, 대장암, 과민성장증후군"
소화기내과,임철현,가톨릭대학교 은평성모병원 소화기내과 임철현.png,부교수,"치료 내시경(위암,대장암,식도암,용종), 초음파 내시경, 소화기 기능성 질환, 췌담도 질환"
소화기내과,윤승배,가톨릭대학교 은평성모병원 소화기내과 윤승배.png,부교수,"췌장암, 담도담낭암, 췌장낭종, 황달, 담석, 담낭용종"
소화기내과,양현,가톨릭대학교 은평성모병원 소화기내과 양현.png,임상조교수,"간암, 간경변, 바이러스 간염, 알코올 간질환, 비알코올 지방간질환, 간수치 상승, 간종괴"
소화기내과,고성우,가톨릭대학교 은평성모병원 소화기내과 고성우.png,조교수,"췌장낭성종양, 췌장염, 췌장암, 담석증, 담낭용종, 담도암, 십이지장용종"
소화기내과,오선우,가톨릭대학교 은평성모병원 소화기내과 오선우.png,임상강사,위장관 소화기내과 질환
소화기내과,이상훈,가톨릭대학교 은평성모병원 소화기내과 이상훈.png,임상강사,위장관 소화기내과 질환
소화기내과,김형근,가톨릭대학교 은평성모병원 소화기내과 김형근.png,임상강사,위장관 소화기내과 질환
소화기내과,민큰솔,가톨릭대학교 은평성모병원 소화기내과 민큰솔.png,임상강사,위장관 소화기내과 질환
소화기내과,양경모,가톨릭대학교 은평성모병원 소화기내과 양경모.png,임상강사,"간염, 간경변, 알콜성간질환, 지방간"
소화기내과,이선미,가톨릭대학교 은평성모병원 소화기내과 이선미.png,임상강사,위장관 소화기내과 질환
순환기내과,장성원,가톨릭대학교 은평성모병원 순환기내과 장성원.png,내과과장,"부정맥, 심방세동, 심장박동이상, 고주파절제술, 인공심장박동기, 제세동기"
순환기내과,서석민,가톨릭대학교 은평성모병원 순환기내과 서석민.png,조교수,"심장이식, 심부전, 관상동맥중재술, 폐색전증, 저항성고혈압"
순환기내과,이정은,가톨릭대학교 은평성모병원 순환기내과 이정은.png,임상조교수,"심근병증, 폐동맥고혈압, 성인 선천성 심질환, 심장판막질환, 고혈압"
순환기내과,권오성,가톨릭대학교 은평성모병원 순환기내과 권오성.png,조교수,"심장혈관질환(관상동맥중재술), 대동맥판막협착증(경피적 대동맥 판막 삽입술 타비[TAVI]), 대동맥 질환(대동맥류, 대동맥박리 스텐트 삽입술), 당뇨족 및 다리 혈관 질환(경피적 혈관 성형술)"
순환기내과,최연직,가톨릭대학교 은평성모병원 순환기내과 최연직.png,임상진료조교수,"관상동맥질환(협심증,심근경색증)/관상동맥중재술, 대동맥판막협착증(경피적 대동맥판막 삽입술,타비[TAVI]),대동맥질환(대동맥류, 대동맥박리 스텐트삽입술), 당뇨족 및 다리혈관(경피적 혈관 성형술),고혈압"
순환기내과,이정훈,가톨릭대학교 은평성모병원 순환기내과 이정훈.png,임상진료조교수,"관상동맥질환(협심증,심근경색증)/관상동맥중재술, 대동맥판막협착증(경피적 대동맥판막 삽입술,타비[TAVI]),대동맥질환(대동맥류, 대동맥박리 스텐트삽입술), 당뇨족 및 다리혈관(경피적 혈관 성형술)"
순환기내과,김숙정,가톨릭대학교 은평성모병원 순환기내과 김숙정.png,임상강사,순환기계 관련 질환
순환기내과,온대웅,가톨릭대학교 은평성모병원 순환기내과 온대웅.png,임상강사,순환기계 관련 질환
신경과,김용재,가톨릭대학교 은평성모병원 신경과 김용재.png,교수,"뇌졸중, 뇌경색의 급성기 치료와 예방, 혈관성 치매, 두통, 재발성 뇌졸중, 어지럼증, 뇌혈관 질환"
신경과,심용수,가톨릭대학교 은평성모병원 신경과 심용수.png,교수,"치매, 언어 및 기억장애 (경도인지장애, 알츠하이머병, 혈관치매)"
신경과,류나영,가톨릭대학교 은평성모병원 신경과 류나영.png,임상진료조교수,"파킨슨병 및 이상운동질환, 치매(언어 및 인지저하), 수전증, 얼굴떨림"
신경과,김진희,가톨릭대학교 은평성모병원 신경과 김진희.png,임상진료조교수,"경련성 질환(뇌전증), 수면장애, 실신, 신경계중환자"
신경과,손효신,가톨릭대학교 은평성모병원 신경과 손효신.png,임상진료조교수,"척수, 말초신경, 근육, 뇌전증, 수면, 두통, 어지럼증"
신경과,허영제,가톨릭대학교 은평성모병원 신경과 허영제.png,임상강사,"어지럼증, 두통, 치매 및 기억장애"
신경외과,박해관,가톨릭대학교 은평성모병원 신경외과 박해관.png,교수,"뇌혈관질환(뇌동맥류,뇌동정맥기형,모야모야병 등) 치료(수술 및 뇌혈관 내 수술),뇌졸중 급성기 치료와 예방,경동맥협착,뇌종양,두통"
신경외과,안재근,가톨릭대학교 은평성모병원 신경외과 안재근.png,임상교수,"뇌혈관질환(뇌동맥류,뇌동정맥기형,모야모야병 수술), 두통 및 안면통증"
신경외과,유도성,가톨릭대학교 은평성모병원 신경외과 유도성.png,교수,"뇌졸중 및 뇌혈관내 수술, 파킨슨병, 신경중환자 관리, 어지러움증, 기억력장애"
신경외과,주원일,가톨릭대학교 은평성모병원 신경외과 주원일.png,교수,"뇌종양, 안면마비 떨림 및 통증, 뇌하수체종양(내시경), 두통"
신경외과,홍재택,가톨릭대학교 은평성모병원 신경외과 홍재택.png,교수,"경추·요추 디스크 및 상·하지 방사통, 노인성 척추질환, 척추수술 후 증후군, 말초신경 질환, 척추종양 및 척수종양"
신경외과,허정우,가톨릭대학교 은평성모병원 신경외과 허정우.png,조교수,"1. 척추 내시경 수술, 최소침습 척추수술, 경추 인공관절 치환술, 전방접근 척추수술 2.경추 및 요추 추간판탈출증, 퇴행성 척추협착증 및 전위증, 척추 및 척수 종양, 척추 골절"
신경외과,임상혁,가톨릭대학교 은평성모병원 신경외과 임상혁.png,조교수,"모야모야병, 뇌동맥류, 뇌출혈, 실신, 두통, 기억력장애"
신경외과,이민형,가톨릭대학교 은평성모병원 신경외과 이민형.png,임상조교수,"경동맥질환, 뇌혈관질환 수술 및 혈관 내 치료, 두통, 어지러움증"
신경외과,은진,가톨릭대학교 은평성모병원 신경외과 은진.png,임상진료조교수,"뇌졸중(뇌경색, 뇌출혈)경동맥질환, 뇌혈관질환 수술 및 혈관 내 치료,두통, 어지러움, 소아 뇌·신경질환, 모야모야병"
신경외과,송승윤,가톨릭대학교 은평성모병원 신경외과 송승윤.png,임상강사,"경동맥질환, 뇌혈관질환 수술 및 혈관 내 치료, 두통, 어지러움증"
신경외과,김동훈,가톨릭대학교 은평성모병원 신경외과 김동훈.png,임상강사,척추질환
신장내과,김병수,가톨릭대학교 은평성모병원 신장내과 김병수.png,교수,"만성신장질환, 부종, 혈뇨, 단백뇨, 고혈압 및 당뇨성 신질환"
신장내과,최범순,가톨릭대학교 은평성모병원 신장내과 최범순.png,교수,"혈뇨/단백뇨, 부종, 고혈압, 사구체 신염, 만성신부전, 투석, 신장이식"
신장내과,반태현,가톨릭대학교 은평성모병원 신장내과 반태현.png,조교수,"급*만성 신장병, 신장이식[공여자 클리닉/수혜자 클리닉], 투석, 사구체신염, 혈뇨, 단백뇨, 고혈압, 당뇨"
신장내과,김형덕,가톨릭대학교 은평성모병원 신장내과 김형덕.png,임상조교수,"복막투석, 신장이식, 사구체신염"
신장내과,황인준,가톨릭대학교 은평성모병원 신장내과 황인준.png,임상강사,"급*만성 신장병, 투석, 고혈압, 사구체신염, 혈뇨, 단백뇨"
