"dptm","name","img_name","position","clinic","학력사항","경력사항","학회활동","수상이력","해외연수","","","","","","","","","","","","","","","",""
"가정의학과","이건호","이건호 교수 가정의학과 (1).jpg","교수","건강증진, 비만","1991. 3. ~ 1997. 2.계명대학교 의과대학 학사
2003. 3. ~ 2005. 2.계명대학교 대학원 의학과 석사","동산의료원 가정의학과 전공의
대구가톨릭대학교병원 연구강사 및 임상전임강사 역임
대구가톨릭대학교 의과대학 전임강사, 조교수, 부교수 역임
캐나다 UBC(University of British Columbia), Faculty of Medicine, CHES 연구교수
현 대구가톨릭대학교 의과대학 가정의학과 교수(주임교수, 임상과장)
교육부학장, 의학교육학교실 주임교수","대한가정의학회
임상건강증진학회
대한노인병학회
대한비만학회
한국의학교육학회","","","","","","","","","","","","","","","","","",""
"가정의학과","조윤정","조윤정 교수님 가정의학과 (1).jpg","교수","건강증진, 비만, 금연, 노인의학","경북대학교 의과대학 학사
경북대학교 대학원 의학 석사
경북대학교 대학원 의학 박사","경북대학교병원 인턴
경북대학교병원 가정의학과 전공의
대구가톨릭대학교병원 가정의학과 임상강사
대구가톨릭대학교병원 가정의학과 임상교수,조교수
대구가톨릭대학교 의과대학 부교수","대한가정의학회
대한비만학회
대한노인병학회
대한가정의학회 대구경북지회 이사","","","","","","","","","","","","","","","","","",""
"가정의학과","김윤아","김윤아 교수 가정의학과 (1).jpg","교수","건강증진, 노인의학, 여행자의학, 호스피스완화의료","2005년 3월 ~ 2011년 2월강원대학교 의과대학	학사
2014년 3월 ~ 2017년 8월성균관대학교 대학원 의학과	석사
2021년 3월 ~ 2023년 2월경북대학교 대학원 의학과 박사","2011년 3월 ~ 2012년 2월삼성서울병원 인턴
2012년 3월 ~ 2015년 2월삼성서울병원 가정의학과	레지던트
2015년 3월 ~ 2017년 2월삼성서울병원 국제진료센터	임상강사
2016년 3월 ~ 2017년 2월삼성서울병원 가정의학과	임상강사
2017년 3월 ~ 2021년 8월대구가톨릭대학교병원 가정의학과	임상조교수
2021년 9월 ~ 현재대구가톨릭대학교병원 가정의학과 조교수","대한가정의학회 	정회원
대한노인병학회	정회원
한국호스피스 · 완화의료학회	정회원","","","","","","","","","","","","","","","","","",""
"가정의학과","김현지","김현지 교수 가정의학과 (1).jpg","교수","건강증진, 노인의학, 비만, 금연, 성인예방접종","2001.3~2007.2경북대학교 의과대학	학사
2009.3~2011.2경북대학교 대학원 의학과	석사
2018.3~2020.2경북대학교 대학원 의학과	박사","2012.5~2015.5인하국제의료센터	진료교수
2015.5~2017.1고려대학교 안암병원	진료교수
2017.3~2020.2대구가톨릭대학교병원 	임상강사
2020.3~대구가톨릭대학교병원 	임상조교수","대한가정의학회
대한당뇨병학회
대한임상건강증진학회","","","","","","","","","","","","","","","","","",""
"가정의학과","문하나","문하나 교수 가정의학과 (1).jpg","교수","영어 진료, 기능의학, 부신피로, 비타민, 영양제, 건강기능식품, 성인예방접종 (대상포진, 자궁경부암, 파상풍, 백일해, A형 간염, B형 간염)","2004 ~ 2008전남대학교 약학부 	학사
2008 ~ 2012경북대학교 의학전문대학원 의학과 	석사
2014 ~ 2016경북대학교 대학원 의학과 	박사","[ 면허 및 자격 ]의사, 약사, 식품분석전문가 1급, 영양제처방인증의, 기능의학인증의, 의료통역(영어)
2012. 3. ~ 2013. 2.경북대학교병원	인턴
2013. 3. ~ 2016. 2경북대학교병원 가정의학과	  전공의
2016. 3. ~ 2017. 2.경북대학교병원 가정의학과	임상강사
2017. 3. ~ 2018. 2.칠곡경북대학교병원 가정의학과	임상강사
2018. 3. ~ 2020. 2.칠곡경북대학교병원 가정의학과	임상교수
2020. 3. ~ 현재대구가톨릭대학교병원 가정의학과	 임상조교수","대한가정의학회
아시안 태평양 안티에이징 컨퍼런스
대한기능의학회
대한정주의학회
대한영양제처방학회
대한임상암대사학회
대한레이저피부모발학회
대한노인병학회
한국초음파학회
대한임상초음파학회
대한위대장내시경학회
대한소화기내시경학회","2021의료통역능력검정시험(영어)
2022대한가정의학회 춘계학술대회 우수논문상","","","","","","","","","","","","","","","","",""
"간이식·간담췌외과","최동락","최동락 교수 간담췌외과 (2).jpg","교수","간담췌 외과, 이식센터","경북대학교 의과대학 졸업
의학박사","서울 아산병원 외과 전문의 수료
서울 아산병원 외과 간이식 촉탁의
대구가톨릭대학교 의과대학 교수","국제간이식학회
국제간담췌외과학회
대한외과학회
대한간학회
대한간담췌학회
대한내시경복강경학회","","","","","","","","","","","","","","","","","",""
"간이식·간담췌외과","한영석","한영석 교수 간담췌외과 (2).jpg","교수","간, 담도, 췌장 질환 수술 및 장기이식, 로봇 및 복강경 수술","1991. 3. ~ 1997. 2.대구가톨릭대학교 의과대학 학사
2000. 3. ~ 2002. 2.대구가톨릭대학교 대학원 의학과 석사","1998. 3. ~ 2002. 2.대구가톨릭대학교병원 외과 전공의
2005. 5. ~ 2006. 4.삼성서울병원 외과 임상강사
2006. 5. ~ 2007. 2.대구가톨릭대학교병원 외과 임상강사
2007. 3. ~ 2013. 2.대구가톨릭대학교병원 외과 조교수
2013. 3. ~ 2014. 8.대구가톨릭대학교병원 외과 부교수
2014. 9. ~ 2022. 7.경북대학교병원 외과 부교수
현재대구가톨릭대학교병원 외과 교수","2002 ~ 현재대한외과학회 평생회원
2003 ~ 현재한국간담췌외과학회 평생회원
2005 ~ 현재대한이식학회 평생회원
2008 ~ 현재대한간이식연구회 실행위원
2009 ~ 현재대한간학회 평생회원
2012 ~ 현재대한내시경복강경외과학회 평생회원
2022 ~ 현재대한간외과학회 정회원","","","","","","","","","","","","","","","","","",""
"간이식·간담췌외과","김주동","김주동 교수 간이식·간담췌외과 (1).jpg","교수","간, 담도, 췌장, 단일통로복강경, 간·췌장 복강경, 로봇수술","대구가톨릭의대졸업
의학박사","서울아산병원 외과 전공의
서울아산병원 외과 임상강사
현 대구가톨릭대학교병원 교수","대한외과학회 평생회원
대한이식학회 정회원
한국간담췌외과학회 평생회원
대한내시경복강경학회 평생회원
대한간학회 정회원","","","","","","","","","","","","","","","","","",""
"간이식·간담췌외과","한자령","한자령 교수 간담췌외과 (1).jpg","교수","간, 담도, 췌장 질환 수술 및 장기이식, 로봇 및 복강경 수술","2013. 2.경북대학교 의학전문대학원 석사","2013. 3. ~ 2014. 2.경북대학교병원 인턴
2014. 3. ~ 2018. 2.경북대학교병원 외과 전공의
2018. 3. ~ 2020. 2.경북대학교병원 외과 임상강사
2020. 3. ~ 2022. 2.경북대학교병원 외과 임상교수
현재대구가톨릭대학교병원 외과 조교수","2018. 5. ~ 현재대한이식학회 정회원
2018. 5. ~ 현재한국간담췌외과학회 정회원
2018. 5. ~ 현재대한내시경로봇외과학회 정회원","","","","","","","","","","","","","","","","","",""
"내분비대사내과","손호상","손호상 교수 내분비대사내과  (1).jpg","교수","내분비대사학 (당뇨병, 갑상선, 골다공증)","1986영남대학교 의과대학 의학사
1989영남대학교 의과대학원 의학석사
2000영남대학교 의과대학원 의학박사","대구가톨릭대학교병원 내과 수련
대구가톨릭대학교병원 내분비-대사내과장
대구가톨릭대학교병원 내과과장
대구가톨릭의대 의학과장/교무부학장
대구가톨릭대학교병원 진료부원장/진료처장
대구가톨릭의대 내분비대사내과 교수
대구가톨릭의대 학장","대한당뇨병/내분비학회 대구경북지회장
대한당뇨병학회 부회장/감사
대한당뇨병학회/내분비학회 평의원
영호남내분비대사학회 이사장","","","","","","","","","","","","","","","","","",""
